,esports_match_id,map_name,map_type
14,39291,Oasis,control
434,39291,Eichenwalde,hybrid
895,39291,Route 66,payload
1316,39291,Colosseo,push
1692,39292,Lijiang Tower,control
2069,39292,King's Row,hybrid
2700,39292,Route 66,payload
3139,39292,New Queen Street,push
3576,39293,Nepal,control
3990,39293,Paraíso,hybrid
4428,39293,Circuit royal,payload
4821,39293,Colosseo,push
5178,39293,Ilios,control
5626,39330,Nepal,control
6186,39330,Paraíso,hybrid
6641,39330,Junkertown,payload
7052,39330,Colosseo,push
7488,39331,Lijiang Tower,control
7960,39331,Eichenwalde,hybrid
8511,39331,Route 66,payload
8940,39294,Ilios,control
9422,39294,Eichenwalde,hybrid
10035,39294,Dorado,payload
10585,39294,New Queen Street,push
11008,39295,Lijiang Tower,control
11546,39295,King's Row,hybrid
12020,39295,Route 66,payload
12545,39295,Colosseo,push
13007,39296,Oasis,control
13522,39296,King's Row,hybrid
14052,39296,Dorado,payload
14511,39296,Colosseo,push
15006,39296,Nepal,control
15485,39332,Ilios,control
15971,39332,Paraíso,hybrid
16399,39332,Junkertown,payload
17014,39333,Lijiang Tower,control
34554,39333,King's Row,hybrid
35086,39333,Circuit royal,payload
35531,39333,New Queen Street,push
35913,39333,Oasis,control
36455,39334,Oasis,control
37044,39334,Paraíso,hybrid
37485,39334,Junkertown,payload
37861,39334,Colosseo,push
38224,39334,Nepal,control
38802,39297,Busan,control
39217,39297,Paraíso,hybrid
39589,39297,Junkertown,payload
40086,39297,Colosseo,push
40451,39298,Oasis,control
41044,39298,Eichenwalde,hybrid
41663,39298,Dorado,payload
42156,39298,New Queen Street,push
42597,39298,Nepal,control
43128,39299,Nepal,control
43704,39299,Paraíso,hybrid
44165,39299,Junkertown,payload
44643,39335,Nepal,control
45159,39335,King's Row,hybrid
45664,39335,Route 66,payload
46152,39335,New Queen Street,push
46550,39335,Ilios,control
47077,39336,Nepal,control
47438,39336,King's Row,hybrid
47932,39336,Dorado,payload
48325,39336,Colosseo,push
48742,39300,Ilios,control
49112,39300,King's Row,hybrid
49584,39300,Circuit royal,payload
49995,39301,Nepal,control
50411,39301,Paraíso,hybrid
50779,39301,Circuit royal,payload
51221,39302,Busan,control
51801,39302,King's Row,hybrid
52225,39302,Route 66,payload
52593,39302,New Queen Street,push
52976,39303,Nepal,control
53497,39303,Eichenwalde,hybrid
54043,39303,Dorado,payload
54452,39337,Busan,control
55059,39337,King's Row,hybrid
55538,39337,Dorado,payload
56001,39337,New Queen Street,push
56386,39338,Busan,control
56760,39338,Eichenwalde,hybrid
57133,39338,Circuit royal,payload
57572,39338,New Queen Street,push
57917,39304,Oasis,control
58411,39304,King's Row,hybrid
58816,39304,Circuit royal,payload
59353,39305,Ilios,control
59857,39305,King's Row,hybrid
60407,39305,Junkertown,payload
60911,39306,Busan,control
61350,39306,Paraíso,hybrid
61783,39306,Junkertown,payload
62233,39306,New Queen Street,push
62669,39339,Lijiang Tower,control
63075,39339,Paraíso,hybrid
63524,39339,Route 66,payload
63970,39339,New Queen Street,push
64344,39339,Oasis,control
64854,39340,Nepal,control
65259,39340,Eichenwalde,hybrid
65688,39340,Dorado,payload
66197,39340,Colosseo,push
66581,39340,Ilios,control
67064,39341,Oasis,control
67504,39341,Paraíso,hybrid
68011,39341,Circuit royal,payload
68497,39307,Lijiang Tower,control
69028,39307,Eichenwalde,hybrid
69397,39307,Dorado,payload
69877,39308,Nepal,control
70483,39308,Paraíso,hybrid
70951,39308,Junkertown,payload
71481,39308,Colosseo,push
71900,39309,Lijiang Tower,control
72434,39309,Paraíso,hybrid
72889,39309,Junkertown,payload
73318,39309,Colosseo,push
73747,39309,Oasis,control
74148,39342,Lijiang Tower,control
74599,39342,Eichenwalde,hybrid
75109,39342,Dorado,payload
75687,39342,Colosseo,push
76108,39342,Oasis,control
76521,39343,Ilios,control
76926,39343,King's Row,hybrid
77422,39343,Circuit royal,payload
78062,39343,New Queen Street,push
78454,39343,Busan,control
78947,39310,Busan,control
79518,39310,Eichenwalde,hybrid
80063,39310,Route 66,payload
80556,39310,New Queen Street,push
80980,39310,Lijiang Tower,control
81606,39311,Oasis,control
82133,39311,Eichenwalde,hybrid
82564,39311,Route 66,payload
83030,39312,Lijiang Tower,control
83681,39312,Eichenwalde,hybrid
84155,39312,Route 66,payload
84632,39312,New Queen Street,push
85080,39344,Oasis,control
85525,39344,Eichenwalde,hybrid
85931,39344,Circuit royal,payload
86318,39344,Colosseo,push
86726,39344,Nepal,control
87104,39345,Ilios,control
87542,39345,Paraíso,hybrid
87985,39345,Junkertown,payload
88416,39345,Colosseo,push
88795,39315,Lijiang Tower,control
89320,39315,Paraíso,hybrid
89865,39315,Junkertown,payload
90481,39314,Busan,control
90976,39314,King's Row,hybrid
91481,39314,Circuit royal,payload
92072,39314,New Queen Street,push
92479,39314,Lijiang Tower,control
93074,39313,Busan,control
93537,39313,Paraíso,hybrid
94128,39313,Circuit royal,payload
94585,39313,Colosseo,push
95002,39313,Lijiang Tower,control
95601,39346,Busan,control
95990,39346,Eichenwalde,hybrid
96411,39346,Junkertown,payload
96769,39347,Busan,control
97163,39347,King's Row,hybrid
97556,39347,Dorado,payload
97947,39348,Ilios,control
98285,39348,Paraíso,hybrid
98749,39348,Route 66,payload
99095,39348,New Queen Street,push
99507,39316,Oasis,control
100187,39316,King's Row,hybrid
100927,39316,Dorado,payload
101369,39316,New Queen Street,push
101866,39316,Nepal,control
102401,39317,Ilios,control
102851,39317,Paraíso,hybrid
103325,39317,Junkertown,payload
103842,39317,Colosseo,push
104296,39318,Oasis,control
104774,39318,Paraíso,hybrid
105230,39318,Circuit royal,payload
105700,39318,New Queen Street,push
106104,39349,Oasis,control
106549,39349,Eichenwalde,hybrid
107028,39349,Junkertown,payload
107596,39350,Nepal,control
108099,39350,King's Row,hybrid
108593,39350,Route 66,payload
108936,39350,New Queen Street,push
109331,39350,Ilios,control
109727,39319,Oasis,control
110279,39319,King's Row,hybrid
110727,39319,Dorado,payload
111280,39319,New Queen Street,push
111670,39319,Nepal,control
112131,39320,Busan,control
112662,39320,Eichenwalde,hybrid
113087,39320,Junkertown,payload
113456,39320,New Queen Street,push
113853,39321,Ilios,control
114230,39321,Paraíso,hybrid
114671,39321,Dorado,payload
115036,39321,Colosseo,push
115430,39322,Busan,control
115879,39322,Paraíso,hybrid
116360,39322,Route 66,payload
116823,39323,Ilios,control
117371,39323,Eichenwalde,hybrid
117927,39323,Route 66,payload
118562,39324,Ilios,control
118942,39324,Eichenwalde,hybrid
119379,39324,Junkertown,payload
119840,39325,Nepal,control
120360,39325,King's Row,hybrid
120914,39325,Circuit royal,payload
121252,39325,Colosseo,push
121644,39325,Ilios,control
122158,39326,Lijiang Tower,control
122567,39326,Eichenwalde,hybrid
122969,39326,Circuit royal,payload
123396,39326,New Queen Street,push
123798,39327,Nepal,control
124323,39327,Eichenwalde,hybrid
124692,39327,Dorado,payload
125300,39327,New Queen Street,push
125659,39328,Busan,control
126048,39328,King's Row,hybrid
126460,39328,Junkertown,payload
126900,39328,New Queen Street,push
127322,39329,Ilios,control
127783,39329,King's Row,hybrid
128255,39329,Dorado,payload
128777,39329,Colosseo,push
